Tournament,Stage,Match Type,Match Name,Map
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs LEVIATÁN,Split
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,NRG vs 100 Thieves,Haven
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,NRG vs 100 Thieves,Corrode
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,G2 Esports vs Cloud9,Corrode
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,G2 Esports vs Cloud9,Bind
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,ENVY vs Evil Geniuses,Pearl
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,ENVY vs Evil Geniuses,Corrode
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,Sentinels vs LEVIATÁN,Corrode
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,Sentinels vs LEVIATÁN,Bind
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,100 Thieves vs Evil Geniuses,Haven
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,100 Thieves vs Evil Geniuses,Bind
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,Cloud9 vs LEVIATÁN,Bind
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,Cloud9 vs LEVIATÁN,Breeze
VCT 2026: Americas Kickoff,Main Event,Middle Round 4,NRG vs G2 Esports,Pearl
VCT 2026: Americas Kickoff,Main Event,Middle Round 4,NRG vs G2 Esports,Split
VCT 2026: Americas Kickoff,Main Event,Lower Round 4,100 Thieves vs Cloud9,Pearl
VCT 2026: Americas Kickoff,Main Event,Lower Round 4,100 Thieves vs Cloud9,Split
VCT 2026: Americas Kickoff,Main Event,Lower Round 4,100 Thieves vs Cloud9,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,Bind
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,Haven
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,Breeze
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,Split
VCT 2026: Americas Kickoff,Main Event,Lower Round 5,NRG vs 100 Thieves,Pearl
VCT 2026: Americas Kickoff,Main Event,Lower Round 5,NRG vs 100 Thieves,Abyss
VCT 2026: Americas Kickoff,Main Event,Middle Final,MIBR vs G2 Esports,Breeze
VCT 2026: Americas Kickoff,Main Event,Middle Final,MIBR vs G2 Esports,Haven
