Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Split,FNATIC,kaajak,yoru,5,1,,,1,,,,,51,1,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Split,FNATIC,Alfajer,raze,4,,,,,,,,,57,0,1
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Split,FNATIC,Veqaj,viper,5,1,,,,,,,,69,0,2
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Breeze,Natus Vincere,Shao,astra,1,,,,,,,,,30,0,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Breeze,Natus Vincere,Filu,neon,4,3,,,,,,,,88,0,1
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Breeze,Natus Vincere,sociablEE,yoru,4,1,,,,,,,,43,2,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Breeze,Natus Vincere,Ruxic,viper,2,,,,,,,,,41,0,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Breeze,Natus Vincere,hiro,sova,,4,,,,1,,,,76,4,1
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Breeze,FNATIC,crashies,sova,2,,,,,,,,,47,5,1
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Breeze,FNATIC,Boaster,astra,2,,,,,,,,,38,0,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Breeze,FNATIC,kaajak,yoru,1,,,,,,,,,39,0,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Breeze,FNATIC,Alfajer,viper,3,1,,,1,,,,,52,1,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Breeze,FNATIC,Veqaj,jett,,,,,,,,,,27,0,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Bind,Natus Vincere,Shao,brimstone,,,,,,,,,,25,3,1
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Bind,Natus Vincere,Filu,raze,3,1,1,,,,,,,37,2,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Bind,Natus Vincere,sociablEE,skye,4,1,,,,,,,,29,4,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Bind,Natus Vincere,Ruxic,viper,8,,,,,,,,,44,3,1
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Bind,Natus Vincere,hiro,tejo,4,4,,,2,,,,,74,1,1
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Bind,FNATIC,crashies,fade,4,1,,,,1,,,,33,5,2
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Bind,FNATIC,Boaster,brimstone,4,,,,,,,,,34,4,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Bind,FNATIC,kaajak,yoru,5,2,,,,,,,,43,2,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Bind,FNATIC,Alfajer,raze,5,,1,,,,,,,47,1,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Bind,FNATIC,Veqaj,viper,8,1,,,,1,,,,48,2,1
