Tournament,Stage,Match Type,Match Name,Map,Player Team,Player,Enemy Team,Enemy,Player Kills,Enemy Kills,Difference,Kill Type
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Shr1mp,G2 Esports,leaf,1,3,-2,All Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Shr1mp,G2 Esports,valyn,0,3,-3,All Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Shr1mp,G2 Esports,trent,4,1,3,All Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,K1ra,G2 Esports,BABYBAY,0,1,-1,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,K1ra,G2 Esports,jawgemo,2,1,1,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,K1ra,G2 Esports,leaf,1,0,1,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,K1ra,G2 Esports,valyn,0,1,-1,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,K1ra,G2 Esports,trent,0,1,-1,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,f4ngeer,G2 Esports,BABYBAY,,,,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,f4ngeer,G2 Esports,jawgemo,,,,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,f4ngeer,G2 Esports,leaf,,,,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,f4ngeer,G2 Esports,valyn,1,1,0,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,f4ngeer,G2 Esports,trent,,,,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Au1,G2 Esports,BABYBAY,,,,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Au1,G2 Esports,jawgemo,0,1,-1,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Au1,G2 Esports,leaf,,,,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Au1,G2 Esports,valyn,1,0,1,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Au1,G2 Esports,trent,0,1,-1,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,iamgrq,G2 Esports,BABYBAY,0,2,-2,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,iamgrq,G2 Esports,jawgemo,1,0,1,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,iamgrq,G2 Esports,leaf,0,1,-1,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,iamgrq,G2 Esports,valyn,,,,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,iamgrq,G2 Esports,trent,,,,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Shr1mp,G2 Esports,BABYBAY,,,,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Shr1mp,G2 Esports,jawgemo,,,,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Shr1mp,G2 Esports,leaf,,,,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Shr1mp,G2 Esports,valyn,,,,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Shr1mp,G2 Esports,trent,1,0,1,First Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,K1ra,G2 Esports,BABYBAY,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,K1ra,G2 Esports,jawgemo,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,K1ra,G2 Esports,leaf,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,K1ra,G2 Esports,valyn,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,K1ra,G2 Esports,trent,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,f4ngeer,G2 Esports,BABYBAY,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,f4ngeer,G2 Esports,jawgemo,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,f4ngeer,G2 Esports,leaf,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,f4ngeer,G2 Esports,valyn,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,f4ngeer,G2 Esports,trent,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Au1,G2 Esports,BABYBAY,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Au1,G2 Esports,jawgemo,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Au1,G2 Esports,leaf,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Au1,G2 Esports,valyn,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Au1,G2 Esports,trent,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,iamgrq,G2 Esports,BABYBAY,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,iamgrq,G2 Esports,jawgemo,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,iamgrq,G2 Esports,leaf,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,iamgrq,G2 Esports,valyn,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,iamgrq,G2 Esports,trent,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Shr1mp,G2 Esports,BABYBAY,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Shr1mp,G2 Esports,jawgemo,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Shr1mp,G2 Esports,leaf,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Shr1mp,G2 Esports,valyn,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Shr1mp,G2 Esports,trent,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,eeiu,BBL Esports,Loita,12,7,5,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,eeiu,BBL Esports,lovers rock,6,3,3,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,eeiu,BBL Esports,Lar0k,14,13,1,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,eeiu,BBL Esports,Crewen,11,13,-2,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,eeiu,BBL Esports,Rosé,12,4,8,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,alym,BBL Esports,Loita,6,10,-4,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,alym,BBL Esports,lovers rock,14,12,2,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,alym,BBL Esports,Lar0k,7,14,-7,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,alym,BBL Esports,Crewen,13,11,2,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,alym,BBL Esports,Rosé,9,2,7,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,artzin,BBL Esports,Loita,12,10,2,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,artzin,BBL Esports,lovers rock,14,8,6,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,artzin,BBL Esports,Lar0k,6,14,-8,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,artzin,BBL Esports,Crewen,10,8,2,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,artzin,BBL Esports,Rosé,11,9,2,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,nerve,BBL Esports,Loita,8,11,-3,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,nerve,BBL Esports,lovers rock,7,5,2,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,nerve,BBL Esports,Lar0k,8,13,-5,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,nerve,BBL Esports,Crewen,8,8,0,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,nerve,BBL Esports,Rosé,5,13,-8,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,koalanoob,BBL Esports,Loita,10,8,2,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,koalanoob,BBL Esports,lovers rock,8,12,-4,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,koalanoob,BBL Esports,Lar0k,12,7,5,All Kills
