Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 1,ULF Esports vs Team Vitality,594743,Breeze,244313
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 1,ULF Esports vs Team Vitality,594743,Corrode,244314
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 2,Team Heretics vs Natus Vincere,594744,Bind,244316
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 2,Team Heretics vs Natus Vincere,594744,Haven,244317
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 2,Team Heretics vs Natus Vincere,594744,Split,244318
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 2,GIANTX vs Gentle Mates,594745,Pearl,244319
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 2,GIANTX vs Gentle Mates,594745,Bind,244320
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 2,FNATIC vs BBL Esports,594746,Breeze,244322
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 2,FNATIC vs BBL Esports,594746,Haven,244323
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 2,Team Liquid vs Team Vitality,594747,Breeze,244325
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 2,Team Liquid vs Team Vitality,594747,Pearl,244326
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 2,Team Liquid vs Team Vitality,594747,Corrode,244327
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 1,Karmine Corp vs Team Liquid,594751,Abyss,244339
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 1,Karmine Corp vs Team Liquid,594751,Split,244340
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 1,Karmine Corp vs Team Liquid,594751,Breeze,244341
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 1,FUT Esports vs FNATIC,594752,Abyss,244342
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 1,FUT Esports vs FNATIC,594752,Corrode,244343
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 1,FUT Esports vs FNATIC,594752,Split,244344
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 1,PCIFIC Esports vs GIANTX,594753,Abyss,244345
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 1,PCIFIC Esports vs GIANTX,594753,Bind,244346
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 1,PCIFIC Esports vs GIANTX,594753,Split,244347
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 1,ULF Esports vs Team Heretics,594754,Haven,244348
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 1,ULF Esports vs Team Heretics,594754,Bind,244349
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 3,Natus Vincere vs Gentle Mates,594748,Abyss,244328
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 3,Natus Vincere vs Gentle Mates,594748,Bind,244329
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 3,BBL Esports vs Team Vitality,594749,Haven,244331
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 3,BBL Esports vs Team Vitality,594749,Abyss,244332
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 2,Team Liquid vs FNATIC,594755,Corrode,244351
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 2,Team Liquid vs FNATIC,594755,Split,244352
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 2,GIANTX vs Team Heretics,594756,Abyss,244354
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 2,GIANTX vs Team Heretics,594756,Haven,244355
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 1,Karmine Corp vs FUT Esports,594761,Haven,244371
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 1,Karmine Corp vs FUT Esports,594761,Split,244372
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 1,Karmine Corp vs FUT Esports,594761,Pearl,244373
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 1,PCIFIC Esports vs ULF Esports,594762,Split,244374
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 1,PCIFIC Esports vs ULF Esports,594762,Abyss,244375
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 3,Natus Vincere vs FNATIC,594757,Split,244357
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 3,Natus Vincere vs FNATIC,594757,Breeze,244358
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 3,Natus Vincere vs FNATIC,594757,Bind,244359
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 3,Team Vitality vs GIANTX,594758,Abyss,244360
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 3,Team Vitality vs GIANTX,594758,Breeze,244361
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 2,Team Heretics vs Karmine Corp,594763,Abyss,252723
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 2,Team Heretics vs Karmine Corp,594763,Haven,244378
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 2,Team Heretics vs Karmine Corp,594763,Corrode,244379
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 2,Team Liquid vs ULF Esports,594764,Split,244380
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 2,Team Liquid vs ULF Esports,594764,Breeze,252724
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 2,Team Liquid vs ULF Esports,594764,Pearl,244382
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 3,Natus Vincere vs Team Heretics,594765,Haven,244383
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 3,Natus Vincere vs Team Heretics,594765,Breeze,244384
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 3,GIANTX vs Team Liquid,594766,Breeze,244386
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 3,GIANTX vs Team Liquid,594766,Pearl,244387
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 3,GIANTX vs Team Liquid,594766,Bind,244388
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 4,Team Heretics vs Team Liquid,594767,Abyss,244389
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 4,Team Heretics vs Team Liquid,594767,Bind,244390
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 4,FNATIC vs Team Vitality,594759,Abyss,244363
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Round 4,FNATIC vs Team Vitality,594759,Bind,244364
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Final,Gentle Mates vs BBL Esports,594750,Haven,244334
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Final,Gentle Mates vs BBL Esports,594750,Abyss,244335
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Final,Gentle Mates vs BBL Esports,594750,Pearl,244336
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Final,Gentle Mates vs BBL Esports,594750,Split,244337
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Final,Gentle Mates vs BBL Esports,594750,Corrode,244338
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 5,Team Vitality vs Team Liquid,594768,Corrode,244392
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 5,Team Vitality vs Team Liquid,594768,Bind,244393
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Round 5,Team Vitality vs Team Liquid,594768,Breeze,244394
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Final,Gentle Mates vs FNATIC,594760,Abyss,244366
