Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,Team Secret,yoru,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,Team Secret,viper,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,Team Secret,omen,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,Team Secret,waylay,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,Team Secret,fade,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,DetonatioN FocusMe,yoru,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,DetonatioN FocusMe,viper,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,DetonatioN FocusMe,omen,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,DetonatioN FocusMe,raze,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,DetonatioN FocusMe,fade,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,VARREL,yoru,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,VARREL,raze,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,VARREL,astra,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,VARREL,brimstone,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,VARREL,skye,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,DRX,yoru,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,DRX,viper,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,DRX,raze,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,DRX,fade,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,DRX,brimstone,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,Gen.G,viper,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,Gen.G,raze,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,Gen.G,waylay,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,Gen.G,astra,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,Gen.G,skye,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,T1,yoru,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,T1,viper,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,T1,waylay,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,T1,fade,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,T1,brimstone,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,Team Secret,yoru,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,Team Secret,viper,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,Team Secret,waylay,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,Team Secret,fade,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,Team Secret,brimstone,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,DetonatioN FocusMe,yoru,1,0,1
